size_bytes,size_kb,size_mb,elements,cycles_per_iteration
508928,497,0.485352,127232,1.5445
509952,498,0.486328,127488,1.5441
510976,499,0.487305,127744,1.54572
512000,500,0.488281,128000,1.54397
513024,501,0.489258,128256,1.54022
514048,502,0.490234,128512,1.53983
515072,503,0.491211,128768,1.5401
516096,504,0.492188,129024,1.54205
517120,505,0.493164,129280,1.54066
518144,506,0.494141,129536,1.53993
519168,507,0.495117,129792,1.54021
520192,508,0.496094,130048,1.53817
521216,509,0.49707,130304,1.53944
522240,510,0.498047,130560,1.54037
523264,511,0.499023,130816,1.539
524288,512,0.5,131072,1.53796
525312,513,0.500977,131328,1.53889
526336,514,0.501953,131584,1.54342
527360,515,0.50293,131840,1.57728
528384,516,0.503906,132096,1.55176
529408,517,0.504883,132352,1.54811
530432,518,0.505859,132608,1.54674
531456,519,0.506836,132864,1.54246
532480,520,0.507812,133120,1.54273
533504,521,0.508789,133376,1.54493
534528,522,0.509766,133632,1.54357
535552,523,0.510742,133888,1.54159
536576,524,0.511719,134144,1.54313
537600,525,0.512695,134400,1.54499
538624,526,0.513672,134656,1.54972
539648,527,0.514648,134912,1.57897
540672,528,0.515625,135168,1.57312
541696,529,0.516602,135424,1.54823
542720,530,0.517578,135680,1.54531
543744,531,0.518555,135936,1.54683
544768,532,0.519531,136192,1.54424
545792,533,0.520508,136448,1.65952
546816,534,0.521484,136704,1.57935
547840,535,0.522461,136960,1.55818
548864,536,0.523438,137216,1.5465
549888,537,0.524414,137472,1.55176
550912,538,0.525391,137728,1.58009
551936,539,0.526367,137984,1.57903
552960,540,0.527344,138240,1.54842
553984,541,0.52832,138496,1.5794
555008,542,0.529297,138752,1.55913
556032,543,0.530273,139008,1.54729
557056,544,0.53125,139264,1.54784
558080,545,0.532227,139520,1.55271
559104,546,0.533203,139776,1.5514
560128,547,0.53418,140032,1.54519
561152,548,0.535156,140288,1.54329
562176,549,0.536133,140544,1.54782
563200,550,0.537109,140800,1.54592
564224,551,0.538086,141056,1.54342
565248,552,0.539062,141312,1.54245
566272,553,0.540039,141568,1.54574
567296,554,0.541016,141824,1.54386
568320,555,0.541992,142080,1.54471
569344,556,0.542969,142336,1.54404
570368,557,0.543945,142592,1.53976
571392,558,0.544922,142848,1.54212
572416,559,0.545898,143104,1.54327
573440,560,0.546875,143360,1.54351
574464,561,0.547852,143616,1.54316
575488,562,0.548828,143872,1.53951
576512,563,0.549805,144128,1.53976
577536,564,0.550781,144384,1.54031
578560,565,0.551758,144640,1.53758
579584,566,0.552734,144896,1.5405
580608,567,0.553711,145152,1.54164
581632,568,0.554688,145408,1.54336
582656,569,0.555664,145664,1.5436
583680,570,0.556641,145920,1.54001
584704,571,0.557617,146176,1.53937
585728,572,0.558594,146432,1.53785
586752,573,0.55957,146688,1.54015
587776,574,0.560547,146944,1.54098
588800,575,0.561523,147200,1.53947
589824,576,0.5625,147456,1.5438
590848,577,0.563477,147712,1.54141
591872,578,0.564453,147968,1.53845
592896,579,0.56543,148224,1.54015
593920,580,0.566406,148480,1.53865
594944,581,0.567383,148736,1.54034
595968,582,0.568359,148992,1.53827
596992,583,0.569336,149248,1.54082
598016,584,0.570312,149504,1.52783
599040,585,0.571289,149760,1.5367
600064,586,0.572266,150016,1.53838
601088,587,0.573242,150272,1.53776
602112,588,0.574219,150528,1.53371
603136,589,0.575195,150784,1.5274
604160,590,0.576172,151040,1.53478
605184,591,0.577148,151296,1.53531
606208,592,0.578125,151552,1.53357
607232,593,0.579102,151808,1.52956
608256,594,0.580078,152064,1.5301
609280,595,0.581055,152320,1.53459
610304,596,0.582031,152576,1.53455
611328,597,0.583008,152832,1.53648
612352,598,0.583984,153088,1.52436
613376,599,0.584961,153344,1.53864
614400,600,0.585938,153600,1.54027
615424,601,0.586914,153856,1.58159
616448,602,0.587891,154112,1.54967
617472,603,0.588867,154368,1.54515
618496,604,0.589844,154624,1.54509
619520,605,0.59082,154880,1.55003
620544,606,0.591797,155136,1.55496
621568,607,0.592773,155392,1.55212
622592,608,0.59375,155648,1.54321
623616,609,0.594727,155904,1.5484
624640,610,0.595703,156160,1.54614
625664,611,0.59668,156416,1.54361
626688,612,0.597656,156672,1.54383
627712,613,0.598633,156928,1.54241
628736,614,0.599609,157184,1.53962
629760,615,0.600586,157440,1.54094
630784,616,0.601562,157696,1.54335
631808,617,0.602539,157952,1.55255
632832,618,0.603516,158208,1.54624
633856,619,0.604492,158464,1.57901
634880,620,0.605469,158720,1.54179
635904,621,0.606445,158976,1.54364
636928,622,0.607422,159232,1.53845
637952,623,0.608398,159488,1.52924
638976,624,0.609375,159744,1.52814
640000,625,0.610352,160000,1.52623
641024,626,0.611328,160256,1.52621
642048,627,0.612305,160512,1.52618
643072,628,0.613281,160768,1.53124
644096,629,0.614258,161024,1.57367
645120,630,0.615234,161280,1.53785
646144,631,0.616211,161536,1.53647
647168,632,0.617188,161792,1.53723
648192,633,0.618164,162048,1.53746
649216,634,0.619141,162304,1.53344
650240,635,0.620117,162560,1.52627
651264,636,0.621094,162816,1.52651
652288,637,0.62207,163072,1.53281
653312,638,0.623047,163328,1.53304
654336,639,0.624023,163584,1.53143
655360,640,0.625,163840,1.53639
656384,641,0.625977,164096,1.53216
657408,642,0.626953,164352,1.53186
658432,643,0.62793,164608,1.53053
659456,644,0.628906,164864,1.53493
660480,645,0.629883,165120,1.53125
661504,646,0.630859,165376,1.532
662528,647,0.631836,165632,1.53301
663552,648,0.632812,165888,1.53064
664576,649,0.633789,166144,1.53372
665600,650,0.634766,166400,1.53213
666624,651,0.635742,166656,1.53159
667648,652,0.636719,166912,1.57458
668672,653,0.637695,167168,1.53718
669696,654,0.638672,167424,1.57439
670720,655,0.639648,167680,1.54018
671744,656,0.640625,167936,1.53963
672768,657,0.641602,168192,1.54163
673792,658,0.642578,168448,1.53725
674816,659,0.643555,168704,1.53721
675840,660,0.644531,168960,1.53641
676864,661,0.645508,169216,1.53586
677888,662,0.646484,169472,1.53811
678912,663,0.647461,169728,1.54592
679936,664,0.648438,169984,1.54713
680960,665,0.649414,170240,1.54531
681984,666,0.650391,170496,1.54602
683008,667,0.651367,170752,1.55025
684032,668,0.652344,171008,1.55195
685056,669,0.65332,171264,1.55541
686080,670,0.654297,171520,1.55534
687104,671,0.655273,171776,1.55477
688128,672,0.65625,172032,1.55496
689152,673,0.657227,172288,1.55664
690176,674,0.658203,172544,1.55757
691200,675,0.65918,172800,1.55701
692224,676,0.660156,173056,1.55247
693248,677,0.661133,173312,1.55439
694272,678,0.662109,173568,1.5526
695296,679,0.663086,173824,1.55625
696320,680,0.664062,174080,1.55173
697344,681,0.665039,174336,1.55612
698368,682,0.666016,174592,1.5558
699392,683,0.666992,174848,1.55377
700416,684,0.667969,175104,1.55347
701440,685,0.668945,175360,1.56027
702464,686,0.669922,175616,1.55922
703488,687,0.670898,175872,1.55768
704512,688,0.671875,176128,1.55981
705536,689,0.672852,176384,1.56584
706560,690,0.673828,176640,1.55651
707584,691,0.674805,176896,2.62357
708608,692,0.675781,177152,1.54886
709632,693,0.676758,177408,1.54517
710656,694,0.677734,177664,1.54536
711680,695,0.678711,177920,1.54459
712704,696,0.679688,178176,1.54744
713728,697,0.680664,178432,1.54377
714752,698,0.681641,178688,1.54661
715776,699,0.682617,178944,1.57828
716800,700,0.683594,179200,1.54987
717824,701,0.68457,179456,1.5503
718848,702,0.685547,179712,1.54211
719872,703,0.686523,179968,1.54421
720896,704,0.6875,180224,1.54584
721920,705,0.688477,180480,1.54436
722944,706,0.689453,180736,1.54122
723968,707,0.69043,180992,1.54118
724992,708,0.691406,181248,1.54185
726016,709,0.692383,181504,1.5456
727040,710,0.693359,181760,1.54839
728064,711,0.694336,182016,1.54219
729088,712,0.695312,182272,1.66577
730112,713,0.696289,182528,1.5407
731136,714,0.697266,182784,1.53854
732160,715,0.698242,183040,1.53826
733184,716,0.699219,183296,1.54527
734208,717,0.700195,183552,1.55295
735232,718,0.701172,183808,1.55476
736256,719,0.702148,184064,1.55751
737280,720,0.703125,184320,1.55254
738304,721,0.704102,184576,1.54923
739328,722,0.705078,184832,1.58058
740352,723,0.706055,185088,1.55307
741376,724,0.707031,185344,1.63398
742400,725,0.708008,185600,1.55041
743424,726,0.708984,185856,1.58205
744448,727,0.709961,186112,1.58658
745472,728,0.710938,186368,1.55648
746496,729,0.711914,186624,1.68107
747520,730,0.712891,186880,1.56464
748544,731,0.713867,187136,1.59444
749568,732,0.714844,187392,1.55669
750592,733,0.71582,187648,1.55205
751616,734,0.716797,187904,1.55909
752640,735,0.717773,188160,1.55651
753664,736,0.71875,188416,1.55599
754688,737,0.719727,188672,1.55684
755712,738,0.720703,188928,1.55747
756736,739,0.72168,189184,1.56013
757760,740,0.722656,189440,1.56188
758784,741,0.723633,189696,1.56
759808,742,0.724609,189952,1.56311
760832,743,0.725586,190208,1.5879
761856,744,0.726562,190464,1.55371
762880,745,0.727539,190720,1.58387
763904,746,0.728516,190976,1.5563
764928,747,0.729492,191232,1.55444
765952,748,0.730469,191488,1.55596
766976,749,0.731445,191744,1.55612
768000,750,0.732422,192000,1.55046
769024,751,0.733398,192256,1.5522
770048,752,0.734375,192512,1.55215
771072,753,0.735352,192768,1.55209
772096,754,0.736328,193024,1.54803
773120,755,0.737305,193280,1.53753
774144,756,0.738281,193536,1.54505
775168,757,0.739258,193792,1.55166
776192,758,0.740234,194048,1.55072
777216,759,0.741211,194304,1.55133
778240,760,0.742188,194560,1.55548
779264,761,0.743164,194816,1.55454
780288,762,0.744141,195072,1.56286
781312,763,0.745117,195328,1.55685
