size_bytes,size_kb,size_mb,elements,cycles_per_iteration
185344,181,0.176758,46336,16.8062
186368,182,0.177734,46592,16.7313
187392,183,0.178711,46848,16.5022
188416,184,0.179688,47104,16.764
189440,185,0.180664,47360,16.7351
190464,186,0.181641,47616,16.1936
191488,187,0.182617,47872,16.5337
192512,188,0.183594,48128,16.7781
193536,189,0.18457,48384,16.692
194560,190,0.185547,48640,16.6713
195584,191,0.186523,48896,17.4925
196608,192,0.1875,49152,16.7671
197632,193,0.188477,49408,16.7081
198656,194,0.189453,49664,16.5276
199680,195,0.19043,49920,16.6616
200704,196,0.191406,50176,16.694
201728,197,0.192383,50432,16.6477
202752,198,0.193359,50688,16.5237
203776,199,0.194336,50944,16.6931
204800,200,0.195312,51200,16.6667
205824,201,0.196289,51456,19.5763
206848,202,0.197266,51712,16.5699
207872,203,0.198242,51968,16.3492
208896,204,0.199219,52224,16.6026
209920,205,0.200195,52480,16.4806
210944,206,0.201172,52736,16.6175
211968,207,0.202148,52992,16.495
212992,208,0.203125,53248,16.3753
214016,209,0.204102,53504,16.5453
215040,210,0.205078,53760,19.7859
216064,211,0.206055,54016,16.6584
217088,212,0.207031,54272,16.6828
218112,213,0.208008,54528,16.3781
219136,214,0.208984,54784,16.636
220160,215,0.209961,55040,16.6523
221184,216,0.210938,55296,16.6258
222208,217,0.211914,55552,16.6544
223232,218,0.212891,55808,16.6004
224256,219,0.213867,56064,16.6396
225280,220,0.214844,56320,16.3792
226304,221,0.21582,56576,16.5385
227328,222,0.216797,56832,16.5873
228352,223,0.217773,57088,16.4519
229376,224,0.21875,57344,16.4834
230400,225,0.219727,57600,18.7968
231424,226,0.220703,57856,16.6051
232448,227,0.22168,58112,16.6415
233472,228,0.222656,58368,16.4771
234496,229,0.223633,58624,16.615
235520,230,0.224609,58880,16.6961
236544,231,0.225586,59136,16.5409
237568,232,0.226562,59392,16.6731
238592,233,0.227539,59648,16.5655
239616,234,0.228516,59904,16.4581
240640,235,0.229492,60160,16.3887
241664,236,0.230469,60416,16.6182
242688,237,0.231445,60672,16.3128
243712,238,0.232422,60928,16.4214
244736,239,0.233398,61184,16.6282
245760,240,0.234375,61440,16.6849
246784,241,0.235352,61696,16.6359
247808,242,0.236328,61952,16.5907
248832,243,0.237305,62208,16.5895
249856,244,0.238281,62464,16.472
250880,245,0.239258,62720,16.6454
251904,246,0.240234,62976,16.9485
252928,247,0.241211,63232,16.7663
253952,248,0.242188,63488,16.5246
254976,249,0.243164,63744,16.7119
256000,250,0.244141,64000,16.6491
257024,251,0.245117,64256,16.6209
258048,252,0.246094,64512,16.6356
259072,253,0.24707,64768,16.613
260096,254,0.248047,65024,16.6058
261120,255,0.249023,65280,16.4273
262144,256,0.25,65536,16.4583
263168,257,0.250977,65792,16.4243
264192,258,0.251953,66048,16.4635
265216,259,0.25293,66304,16.5589
266240,260,0.253906,66560,16.5553
267264,261,0.254883,66816,16.4461
268288,262,0.255859,67072,16.5033
269312,263,0.256836,67328,16.5938
270336,264,0.257812,67584,16.5984
271360,265,0.258789,67840,16.705
272384,266,0.259766,68096,16.8127
273408,267,0.260742,68352,16.6962
274432,268,0.261719,68608,16.6653
275456,269,0.262695,68864,16.6626
276480,270,0.263672,69120,16.7004
277504,271,0.264648,69376,16.6289
278528,272,0.265625,69632,16.6894
279552,273,0.266602,69888,16.6954
280576,274,0.267578,70144,16.6626
281600,275,0.268555,70400,16.7138
282624,276,0.269531,70656,16.7202
283648,277,0.270508,70912,16.6362
284672,278,0.271484,71168,16.5884
285696,279,0.272461,71424,33.886
286720,280,0.273438,71680,16.7099
287744,281,0.274414,71936,16.6187
288768,282,0.275391,72192,16.6259
289792,283,0.276367,72448,16.5084
290816,284,0.277344,72704,16.6212
291840,285,0.27832,72960,16.5146
292864,286,0.279297,73216,16.6013
293888,287,0.280273,73472,16.4486
294912,288,0.28125,73728,16.5618
295936,289,0.282227,73984,16.5824
296960,290,0.283203,74240,16.5779
297984,291,0.28418,74496,16.495
299008,292,0.285156,74752,38.6081
300032,293,0.286133,75008,16.5974
301056,294,0.287109,75264,32.9419
302080,295,0.288086,75520,16.6181
303104,296,0.289062,75776,16.4592
304128,297,0.290039,76032,16.3625
305152,298,0.291016,76288,16.3803
306176,299,0.291992,76544,16.3638
307200,300,0.292969,76800,16.4794
308224,301,0.293945,77056,16.418
309248,302,0.294922,77312,16.5544
310272,303,0.295898,77568,16.5729
311296,304,0.296875,77824,16.556
312320,305,0.297852,78080,16.6052
313344,306,0.298828,78336,16.5625
314368,307,0.299805,78592,16.5414
315392,308,0.300781,78848,16.4648
316416,309,0.301758,79104,16.4267
317440,310,0.302734,79360,16.5503
318464,311,0.303711,79616,16.4447
319488,312,0.304688,79872,16.5083
320512,313,0.305664,80128,16.5506
321536,314,0.306641,80384,16.3459
322560,315,0.307617,80640,16.5617
323584,316,0.308594,80896,16.4301
324608,317,0.30957,81152,16.4689
325632,318,0.310547,81408,16.4123
326656,319,0.311523,81664,16.4183
327680,320,0.3125,81920,16.4998
328704,321,0.313477,82176,23.806
329728,322,0.314453,82432,16.5183
330752,323,0.31543,82688,16.5285
331776,324,0.316406,82944,16.4983
332800,325,0.317383,83200,16.4976
333824,326,0.318359,83456,16.5619
334848,327,0.319336,83712,16.6217
335872,328,0.320312,83968,16.3846
336896,329,0.321289,84224,16.3165
337920,330,0.322266,84480,16.3469
338944,331,0.323242,84736,16.43
339968,332,0.324219,84992,16.5399
340992,333,0.325195,85248,16.5976
342016,334,0.326172,85504,16.3684
343040,335,0.327148,85760,16.4043
344064,336,0.328125,86016,19.1924
345088,337,0.329102,86272,16.5297
346112,338,0.330078,86528,16.5275
347136,339,0.331055,86784,16.5199
348160,340,0.332031,87040,16.4926
349184,341,0.333008,87296,16.9703
350208,342,0.333984,87552,16.5105
351232,343,0.334961,87808,16.4085
352256,344,0.335938,88064,16.4834
353280,345,0.336914,88320,16.3996
