size_bytes,size_kb,size_mb,elements,cycles_per_iteration
516096,504,0.492188,129024,1.50639
517120,505,0.493164,129280,1.50673
518144,506,0.494141,129536,1.51205
519168,507,0.495117,129792,1.5041
520192,508,0.496094,130048,1.50841
521216,509,0.49707,130304,1.51964
522240,510,0.498047,130560,1.51369
523264,511,0.499023,130816,1.5058
524288,512,0.5,131072,1.50811
525312,513,0.500977,131328,1.50975
526336,514,0.501953,131584,1.51074
527360,515,0.50293,131840,1.51041
528384,516,0.503906,132096,1.51074
529408,517,0.504883,132352,1.51724
530432,518,0.505859,132608,1.5101
531456,519,0.506836,132864,1.51463
532480,520,0.507812,133120,1.50978
533504,521,0.508789,133376,1.52139
534528,522,0.509766,133632,1.51043
535552,523,0.510742,133888,2.44631
536576,524,0.511719,134144,1.54698
537600,525,0.512695,134400,2.50833
538624,526,0.513672,134656,1.51204
539648,527,0.514648,134912,1.51427
540672,528,0.515625,135168,1.50695
541696,529,0.516602,135424,1.50569
542720,530,0.517578,135680,1.50665
543744,531,0.518555,135936,1.51014
544768,532,0.519531,136192,1.51172
545792,533,0.520508,136448,1.53535
546816,534,0.521484,136704,1.5114
547840,535,0.522461,136960,1.53464
548864,536,0.523438,137216,1.51642
549888,537,0.524414,137472,2.52923
550912,538,0.525391,137728,2.44647
551936,539,0.526367,137984,1.51359
552960,540,0.527344,138240,1.50892
553984,541,0.52832,138496,1.51358
555008,542,0.529297,138752,1.51513
556032,543,0.530273,139008,1.50955
557056,544,0.53125,139264,1.51079
558080,545,0.532227,139520,1.51203
559104,546,0.533203,139776,1.51541
560128,547,0.53418,140032,1.51479
561152,548,0.535156,140288,1.50988
562176,549,0.536133,140544,1.5108
563200,550,0.537109,140800,1.52058
564224,551,0.538086,141056,1.52452
565248,552,0.539062,141312,1.51507
566272,553,0.540039,141568,1.51506
567296,554,0.541016,141824,1.51687
568320,555,0.541992,142080,1.52776
569344,556,0.542969,142336,1.51474
570368,557,0.543945,142592,1.51323
571392,558,0.544922,142848,1.51654
572416,559,0.545898,143104,2.3753
573440,560,0.546875,143360,1.54321
574464,561,0.547852,143616,2.41803
575488,562,0.548828,143872,1.51441
576512,563,0.549805,144128,1.5147
577536,564,0.550781,144384,2.28158
578560,565,0.551758,144640,1.50845
579584,566,0.552734,144896,1.50845
580608,567,0.553711,145152,1.50728
581632,568,0.554688,145408,1.51054
582656,569,0.555664,145664,1.50877
583680,570,0.556641,145920,1.51408
584704,571,0.557617,146176,1.51084
585728,572,0.558594,146432,1.51377
586752,573,0.55957,146688,2.4826
587776,574,0.560547,146944,1.51406
588800,575,0.561523,147200,1.51347
589824,576,0.5625,147456,1.5088
590848,577,0.563477,147712,1.50997
591872,578,0.564453,147968,1.51724
592896,579,0.56543,148224,1.51578
593920,580,0.566406,148480,1.5149
594944,581,0.567383,148736,1.52299
595968,582,0.568359,148992,1.50739
596992,583,0.569336,149248,1.50913
598016,584,0.570312,149504,1.50827
599040,585,0.571289,149760,1.50827
600064,586,0.572266,150016,1.51029
601088,587,0.573242,150272,1.50657
602112,588,0.574219,150528,1.50915
603136,589,0.575195,150784,1.50544
604160,590,0.576172,151040,1.50773
605184,591,0.577148,151296,1.51541
606208,592,0.578125,151552,1.51002
607232,593,0.579102,151808,3.05998
608256,594,0.580078,152064,2.38323
609280,595,0.581055,152320,1.51991
610304,596,0.582031,152576,2.16189
611328,597,0.583008,152832,1.50581
612352,598,0.583984,153088,1.50891
613376,599,0.584961,153344,1.50835
614400,600,0.585938,153600,1.512
615424,601,0.586914,153856,2.16375
616448,602,0.587891,154112,1.50949
617472,603,0.588867,154368,1.50587
618496,604,0.589844,154624,1.50783
619520,605,0.59082,154880,1.50811
620544,606,0.591797,155136,1.5059
621568,607,0.592773,155392,1.50452
622592,608,0.59375,155648,1.50702
623616,609,0.594727,155904,1.50924
624640,610,0.595703,156160,1.51612
625664,611,0.59668,156416,1.51392
626688,612,0.597656,156672,1.50596
627712,613,0.598633,156928,1.51172
628736,614,0.599609,157184,1.54947
629760,615,0.600586,157440,1.50871
630784,616,0.601562,157696,1.50981
631808,617,0.602539,157952,1.50872
632832,618,0.603516,158208,1.51906
633856,619,0.604492,158464,1.50575
634880,620,0.605469,158720,1.50928
635904,621,0.606445,158976,1.53228
636928,622,0.607422,159232,1.51388
637952,623,0.608398,159488,1.5074
638976,624,0.609375,159744,1.50714
640000,625,0.610352,160000,2.31636
641024,626,0.611328,160256,1.50662
642048,627,0.612305,160512,1.50797
